Experience ID,0

Breakdown,Date,Daily Active Users
Benchmark (Top n experience),2024-04-01T00:00:00.000Z,557
Benchmark (Top n experience),2024-04-02T00:00:00.000Z,504
Benchmark (Top n experience),2024-04-03T00:00:00.000Z,488
Benchmark (Top n experience),2024-04-04T00:00:00.000Z,511
Benchmark (Top n experience),2024-04-05T00:00:00.000Z,548
Benchmark (Top n experience),2024-04-06T00:00:00.000Z,664
Benchmark (Top n experience),2024-04-07T00:00:00.000Z,644
Benchmark (Top n experience),2024-04-08T00:00:00.000Z,512
Benchmark (Top n experience),2024-04-09T00:00:00.000Z,472
Benchmark (Top n experience),2024-04-10T00:00:00.000Z,498
Benchmark (Top n experience),2024-04-11T00:00:00.000Z,454
Benchmark (Top n experience),2024-04-12T00:00:00.000Z,492
Benchmark (Top n experience),2024-04-13T00:00:00.000Z,630
Benchmark (Top n experience),2024-04-14T00:00:00.000Z,655
Benchmark (Top n experience),2024-04-15T00:00:00.000Z,470
Benchmark (Top n experience),2024-04-16T00:00:00.000Z,454
Benchmark (Top n experience),2024-04-17T00:00:00.000Z,458
Benchmark (Top n experience),2024-04-18T00:00:00.000Z,458
Benchmark (Top n experience),2024-04-19T00:00:00.000Z,532
Benchmark (Top n experience),2024-04-20T00:00:00.000Z,695
Benchmark (Top n experience),2024-04-21T00:00:00.000Z,672
Benchmark (Top n experience),2024-04-22T00:00:00.000Z,468
Benchmark (Top n experience),2024-04-23T00:00:00.000Z,462
Benchmark (Top n experience),2024-04-24T00:00:00.000Z,464
Benchmark (Top n experience),2024-04-25T00:00:00.000Z,484
Benchmark (Top n experience),2024-04-26T00:00:00.000Z,543
Benchmark (Top n experience),2024-04-27T00:00:00.000Z,694
Benchmark (Top n experience),2024-04-28T00:00:00.000Z,687
Benchmark (Top n experience),2024-04-29T00:00:00.000Z,482
Benchmark (Top n experience),2024-04-30T00:00:00.000Z,499
Benchmark (Top n experience),2024-05-01T00:00:00.000Z,576
Benchmark (Top n experience),2024-05-02T00:00:00.000Z,478
Benchmark (Top n experience),2024-05-03T00:00:00.000Z,553
Benchmark (Top n experience),2024-05-04T00:00:00.000Z,722
Benchmark (Top n experience),2024-05-05T00:00:00.000Z,715
Benchmark (Top n experience),2024-05-06T00:00:00.000Z,526
Benchmark (Top n experience),2024-05-07T00:00:00.000Z,507
Benchmark (Top n experience),2024-05-08T00:00:00.000Z,532
Benchmark (Top n experience),2024-05-09T00:00:00.000Z,561
Benchmark (Top n experience),2024-05-10T00:00:00.000Z,599
Benchmark (Top n experience),2024-05-11T00:00:00.000Z,726
Benchmark (Top n experience),2024-05-12T00:00:00.000Z,672
Benchmark (Top n experience),2024-05-13T00:00:00.000Z,487
Benchmark (Top n experience),2024-05-14T00:00:00.000Z,489
Benchmark (Top n experience),2024-05-15T00:00:00.000Z,507
Benchmark (Top n experience),2024-05-16T00:00:00.000Z,478
Benchmark (Top n experience),2024-05-17T00:00:00.000Z,548
Benchmark (Top n experience),2024-05-18T00:00:00.000Z,705
Benchmark (Top n experience),2024-05-19T00:00:00.000Z,684
Benchmark (Top n experience),2024-05-20T00:00:00.000Z,513
Benchmark (Top n experience),2024-05-21T00:00:00.000Z,518
Benchmark (Top n experience),2024-05-22T00:00:00.000Z,543
